No,윈도우,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
62,9,bpppppbp,547,b,50.82,547,p,78.65,6.9,54.6
63,9,bppppppb,544,b,50.92,544,b,54.39,8.3,42.9
64,9,bppppppp,544,b,51.29,544,p,64.68,8.6,50.0
65,9,pbbbbbbb,650,p,50.46,650,b,66.77,8.0,57.9
66,9,pbbbbbbp,603,p,51.24,603,p,52.34,10.6,44.6
67,9,pbbbbbpb,591,b,50.25,591,p,63.06,8.1,48.2
68,9,pbbbbbpp,556,p,51.8,556,p,59.13,7.7,49.3
69,9,pbbbbpbb,631,p,53.25,631,p,50.64,9.9,47.1
70,9,pbbbbpbp,619,p,51.37,619,b,53.6,10.6,47.2
71,9,pbbbbppb,605,p,52.23,605,p,59.54,11.7,76.7
72,9,pbbbbppp,550,b,50.18,550,b,52.79,5.7,45.0
73,9,pbbbpbbb,651,p,51.46,651,b,53.29,7.8,35.7
74,9,pbbbpbbp,649,b,51.31,649,b,63.73,9.4,50.5
75,9,pbbbpbpb,634,p,52.84,634,p,56.51,9.8,58.4
76,9,pbbbpbpp,567,p,51.5,567,p,60.8,8.3,45.2
77,9,pbbbppbb,576,b,53.12,576,p,52.77,9.4,48.3
78,9,pbbbppbp,617,b,51.86,617,b,63.2,7.4,48.4
79,9,pbbbpppb,561,p,51.52,561,p,58.28,11.4,41.2
80,9,pbbbpppp,565,b,55.22,565,b,59.13,6.7,45.8
81,9,pbbpbbbb,640,p,55.16,640,p,50.16,9.1,45.9
82,9,pbbpbbbp,623,b,52.49,623,p,68.83,8.0,54.5
83,9,pbbpbbpb,696,b,50.43,696,p,56.12,7.1,51.4
84,9,pbbpbbpp,601,p,51.08,601,b,53.4,12.1,54.8
85,9,pbbpbpbb,615,b,52.68,615,p,50.1,8.4,55.5
86,9,pbbpbpbp,655,p,51.6,655,b,53.46,9.6,41.2
87,9,pbbpbppb,629,b,50.72,629,p,55.16,8.4,41.3
88,9,pbbpbppp,626,p,51.28,626,p,60.13,8.1,44.1
89,9,pbbppbbb,612,p,50.33,612,b,55.32,9.8,51.4
90,9,pbbppbbp,631,p,50.55,631,p,61.96,7.7,46.9
91,9,pbbppbpb,620,b,52.74,620,p,56.33,9.1,50.6
92,9,pbbppbpp,595,p,51.6,595,b,55.08,8.9,54.7
93,9,pbbpppbb,619,p,52.34,619,p,58.42,9.1,49.6
94,9,pbbpppbp,621,b,54.11,621,b,53.79,7.5,47.4
95,9,pbbppppb,604,p,54.14,604,p,58.16,10.4,56.3
96,9,pbbppppp,545,p,50.64,545,p,57.72,7.7,46.2
97,9,pbpbbbbb,639,b,51.02,639,p,56.19,9.0,48.1
98,9,pbpbbbbp,579,b,54.4,579,b,67.19,7.2,50.5
99,9,pbpbbbpb,668,b,52.4,668,b,58.6,10.4,46.8
100,9,pbpbbbpp,606,b,53.14,606,b,60.43,9.7,45.7
101,9,pbpbbpbb,634,b,50.63,634,p,58.76,9.4,41.5
102,9,pbpbbpbp,615,p,52.52,615,b,68.38,6.3,50.9
103,9,pbpbbppb,602,p,50,602,p,52.97,6.2,49.6
104,9,pbpbbppp,606,b,54.29,606,b,52.11,7.1,38.2
105,9,pbpbpbbb,648,p,50.93,648,p,54.07,10.6,48.5
106,9,pbpbpbbp,617,p,51.22,617,p,65.15,5.4,37.5
107,9,pbpbpbpb,609,b,54.02,609,b,53.09,8.4,55.2
108,9,pbpbpbpp,610,b,53.28,610,p,50.54,6.4,59.6
109,9,pbpbppbb,660,p,50.61,660,b,55.23,7.9,37.5
110,9,pbpbppbp,585,b,52.82,585,p,50.62,8.0,62.2
111,9,pbpbpppb,587,b,52.81,587,b,54.69,8.8,45.3
112,9,pbpbpppp,566,b,52.3,566,b,70.38,6.1,51.5
113,9,pbppbbbb,596,p,51.85,596,p,64.68,7.7,68.2
114,9,pbppbbbp,583,b,51.29,583,p,58.95,9.8,40.0
115,9,pbppbbpb,649,p,51.46,649,p,65.5,8.8,44.3
116,9,pbppbbpp,606,b,53.47,606,b,53.23,8.9,56.5
117,9,pbppbpbb,587,p,51.62,587,p,59.22,6.7,47.6
118,9,pbppbpbp,631,p,51.35,631,p,54,6.9,59.5
119,9,pbppbppb,575,b,53.39,575,p,61.51,6.6,49.3
120,9,pbppbppp,546,b,54.76,546,p,57.97,8.8,58.8
121,9,pbpppbbb,614,b,53.91,614,b,61.56,11.0,52.8
122,9,pbpppbbp,586,b,50.68,586,b,58.85,10.9,47.5
123,9,pbpppbpb,586,b,50.34,586,p,52.99,8.2,45.0
124,9,pbpppbpp,565,p,50.8,565,p,53.24,7.9,50.0
125,9,pbppppbb,598,b,50.17,598,b,58.38,8.6,47.4
126,9,pbppppbp,556,b,53.06,556,p,58.64,12.3,60.9
127,9,pbpppppb,554,p,50,554,p,54.28,7.1,52.5
128,9,pbpppppp,544,p,50.18,544,b,56.18,10.5,51.6
129,10,bpbbbbbbb,313,b,50.48,313,b,59.59,4.1,-
130,10,bpbbbbbbp,302,b,50.66,302,b,61.58,4.4,58.3
131,10,bpbbbbbpb,290,b,51.72,290,p,66.83,3.9,64.3
132,10,bpbbbbbpp,303,b,52.15,303,p,61.55,5.0,-
133,10,bpbbbbpbb,328,b,51.52,328,b,59.32,4.9,16.7
134,10,bpbbbbpbp,320,b,52.19,320,b,61.36,4.5,35.7
135,10,bpbbbbppb,288,p,51.74,288,p,65.97,4.9,66.7
136,10,bpbbbbppp,278,b,51.8,278,p,56.37,1.6,64.7
137,10,bpbbbpbbb,341,p,51.61,341,p,58.33,4.3,0.0
138,10,bpbbbpbbp,336,b,53.57,336,b,63.7,5.3,70.6
139,10,bpbbbpbpb,310,p,50.97,310,p,52.12,4.2,40.0
140,10,bpbbbpbpp,309,b,50.16,309,b,56.98,2.8,38.5
141,10,bpbbbppbb,299,b,59.87,299,p,55.39,6.2,62.5
142,10,bpbbbppbp,320,b,54.37,320,b,87.63,4.4,-
143,10,bpbbbpppb,266,b,51.88,266,p,62.04,4.6,75.0
144,10,bpbbbpppp,276,b,58.33,276,b,65.6,4.0,11.1
145,10,bpbbpbbbb,337,p,54.6,337,p,55.14,5.2,-
146,10,bpbbpbbbp,291,b,52.23,291,p,90.45,3.1,57.1
147,10,bpbbpbbpb,372,b,50,372,p,64.54,4.6,-
148,10,bpbbpbbpp,302,p,52.32,302,b,57.02,4.6,38.1
149,10,bpbbpbpbb,289,b,57.44,289,b,55.32,4.8,68.8
150,10,bpbbpbpbp,333,b,51.35,333,p,53.77,4.3,-
151,10,bpbbpbppb,308,b,50.97,308,p,64.71,3.0,50.0
152,10,bpbbpbppp,332,b,51.2,332,p,75.36,3.5,-
153,10,bpbbppbbb,292,p,53.42,292,p,63.21,4.9,62.5
154,10,bpbbppbbp,308,p,52.27,308,p,67.05,3.2,0.0
155,10,bpbbppbpb,307,b,53.75,307,p,58.01,4.6,-
156,10,bpbbppbpp,283,p,50.53,283,b,67.13,4.9,13.6
157,10,bpbbpppbb,334,p,53.29,334,p,63.54,5.1,-
158,10,bpbbpppbp,309,b,52.75,309,p,64.27,3.5,52.9
159,10,bpbbppppb,295,p,54.58,295,p,66.1,4.9,-
160,10,bpbbppppp,263,p,50.57,263,p,75.35,1.7,44.4
161,10,bpbpbbbbb,333,b,52.55,333,b,53.65,4.0,-
162,10,bpbpbbbbp,276,b,54.71,276,b,57.91,3.6,66.7
163,10,bpbpbbbpb,323,b,54.18,323,b,69.2,5.1,-
164,10,bpbpbbbpp,309,b,53.07,309,b,63.32,5.6,50.0
165,10,bpbpbbpbb,298,p,51.68,298,p,50.68,6.1,-
166,10,bpbpbbpbp,292,p,54.79,292,b,75.5,3.2,50.0
167,10,bpbpbbppb,301,b,53.49,301,p,70.7,3.1,85.7
168,10,bpbpbbppp,303,b,53.8,303,b,72.79,4.3,60.0
169,10,bpbpbpbbb,325,p,53.54,325,p,58.45,5.7,50.0
170,10,bpbpbpbbp,325,b,51.69,325,p,63.69,2.8,87.5
171,10,bpbpbpbpb,286,b,52.45,286,b,58.41,4.0,46.2
172,10,bpbpbpbpp,294,b,50.68,294,p,60.15,3.3,50.0
173,10,bpbpbppbb,361,b,51.52,361,p,51.59,3.0,-
174,10,bpbpbppbp,279,b,55.2,279,b,57.28,2.4,44.4
175,10,bpbpbpppb,302,b,52.65,302,p,57.16,5.4,66.7
176,10,bpbpbpppp,285,b,50.53,285,p,55.33,2.9,14.3
177,10,bpbppbbbb,305,p,52.79,305,p,81.84,2.6,81.8
178,10,bpbppbbbp,322,b,52.8,322,p,56.64,6.0,33.3
179,10,bpbppbbpb,318,p,53.14,318,p,72.46,3.6,-
180,10,bpbppbbpp,297,b,53.2,297,b,64.13,2.7,66.7
181,10,bpbppbpbb,295,p,51.86,295,p,69.53,4.2,50.0
182,10,bpbppbpbp,305,p,50.82,305,b,51.25,3.8,50.0
183,10,bpbppbppb,280,b,53.93,280,b,63.23,2.1,66.7
184,10,bpbppbppp,283,b,53.36,283,p,57.78,4.4,50.0
185,10,bpbpppbbb,303,b,56.11,303,b,69.47,4.4,65.0
186,10,bpbpppbbp,312,b,50.96,312,b,51.16,6.5,0.0
187,10,bpbpppbpb,293,b,52.22,293,p,59.83,3.8,0.0
188,10,bpbpppbpp,259,p,50.19,259,p,52.28,3.1,50.0
189,10,bpbppppbb,310,p,50.32,310,b,56.82,3.9,50.0
190,10,bpbppppbp,285,b,51.93,285,p,52.53,5.5,66.7
191,10,bpbpppppb,285,p,50.18,285,b,61.5,2.8,-
192,10,bpbpppppp,263,b,51.71,263,b,76.81,4.4,35.3
193,10,bppbbbbbb,319,b,54.55,319,p,64.96,4.3,-
194,10,bppbbbbbp,248,b,55.24,248,b,67.97,3.2,30.0
195,10,bppbbbbpb,301,b,54.82,301,p,76.67,3.6,-
196,10,bppbbbbpp,287,b,52.96,287,b,61.2,6.8,68.4
197,10,bppbbbpbb,315,b,51.75,315,b,64.23,3.7,-
198,10,bppbbbpbp,291,b,55.67,291,b,54.1,4.8,70.6
199,10,bppbbbppb,269,p,51.3,269,b,64.3,4.0,66.7
200,10,bppbbbppp,268,b,52.24,268,b,55.66,5.6,53.3
201,10,bppbbpbbb,301,p,50.83,301,p,61.15,3.5,50.0
202,10,bppbbpbbp,305,b,57.7,305,p,53.42,3.1,100.0
203,10,bppbbpbpb,300,p,50,300,p,79.58,4.6,37.5
204,10,bppbbpbpp,298,b,51.68,298,b,51.81,4.5,80.0
205,10,bppbbppbb,312,p,55.13,312,p,52.79,3.8,28.6
206,10,bppbbppbp,307,b,53.42,307,b,53.65,4.4,92.3
207,10,bppbbpppb,309,b,51.46,309,p,53.3,5.1,100.0
208,10,bppbbpppp,267,b,51.69,267,p,61.94,6.6,39.1
209,10,bppbpbbbb,288,b,52.08,288,b,64.39,3.2,78.6
210,10,bppbpbbbp,316,b,54.11,316,p,58.71,4.5,-
211,10,bppbpbbpb,338,b,50.59,338,b,68.35,4.5,-
212,10,bppbpbbpp,280,p,53.21,280,b,73.58,1.8,28.6
213,10,bppbpbpbb,292,b,52.74,292,b,78.32,4.5,66.7
214,10,bppbpbpbp,291,p,51.55,291,b,59.22,3.6,37.5
215,10,bppbpbppb,324,p,50.93,324,p,57.36,5.3,-
216,10,bppbpbppp,271,p,50.92,271,p,61.05,3.6,63.6
217,10,bppbppbbb,283,b,52.3,283,b,60.93,4.3,55.6
218,10,bppbppbbp,306,b,52.94,306,b,63.99,4.6,-
219,10,bppbppbpb,301,b,50.17,301,p,62.3,3.6,-
220,10,bppbppbpp,259,b,52.51,259,p,53.69,4.4,63.6
221,10,bppbpppbb,287,b,57.84,287,b,80.27,5.8,50.0
222,10,bppbpppbp,290,p,52.07,290,p,55.09,3.8,60.0
223,10,bppbppppb,251,b,54.98,251,p,58.65,4.4,-
224,10,bppbppppp,255,p,54.51,255,p,57.99,4.3,78.6
225,10,bpppbbbbb,284,p,50.7,284,b,53.29,5.2,33.3
226,10,bpppbbbbp,289,p,54.33,289,b,57.89,6.2,11.1
227,10,bpppbbbpb,278,b,52.16,278,p,63.76,6.3,55.6
228,10,bpppbbbpp,288,b,51.04,288,p,83.16,3.3,-
229,10,bpppbbpbb,297,b,50.17,297,p,61.44,5.0,-
230,10,bpppbbpbp,311,b,52.73,311,p,59.15,7.7,54.5
231,10,bpppbbppb,282,b,54.26,282,b,57.02,5.0,81.8
232,10,bpppbbppp,291,p,53.61,291,p,62.61,2.7,100.0
233,10,bpppbpbbb,293,p,52.22,293,p,52.14,5.6,70.0
234,10,bpppbpbbp,304,b,51.32,304,p,62.64,3.3,100.0
235,10,bpppbpbpb,292,p,53.42,292,p,70.28,3.2,-
236,10,bpppbpbpp,277,p,51.62,277,b,75.36,5.0,40.0
237,10,bpppbppbb,267,p,51.31,267,p,72.04,6.1,66.7
238,10,bpppbppbp,273,b,52.75,273,p,60.71,2.6,33.3
239,10,bpppbpppb,290,p,54.14,290,b,61.71,4.8,-
240,10,bpppbpppp,271,p,50.92,271,p,70.21,3.1,63.2
241,10,bppppbbbb,281,p,51.25,281,p,53.81,6.0,28.6
242,10,bppppbbbp,267,b,50.94,267,b,58.61,2.5,60.0
243,10,bppppbbpb,304,p,50,304,b,57.26,5.2,50.0
244,10,bppppbbpp,283,b,51.24,283,b,53.28,4.5,17.6
245,10,bppppbpbb,313,b,54.31,313,b,50.85,5.8,0.0
246,10,bppppbpbp,287,b,54.01,287,b,56.73,4.0,46.2
247,10,bppppbppb,289,p,50.87,289,p,60.45,4.0,30.8
248,10,bppppbppp,282,p,52.84,282,p,84.77,8.7,25.0
249,10,bpppppbbb,262,p,52.29,262,p,62.2,2.9,30.8
250,10,bpppppbbp,284,p,50.35,284,p,57.22,4.2,-
251,10,bpppppbpb,275,b,56,275,p,52.36,1.5,-
252,10,bpppppbpp,264,p,53.03,264,p,69.49,5.5,53.8
253,10,bppppppbb,267,b,51.69,267,p,58.27,4.1,44.4
254,10,bppppppbp,256,b,55.47,256,b,54.24,3.1,66.7
255,10,bpppppppb,271,b,53.87,271,b,75.98,3.0,100.0
256,10,bpppppppp,261,p,50.96,261,p,65.79,5.6,50.0
257,10,pbbbbbbbb,317,b,52.68,317,b,58.88,5.4,40.0
258,10,pbbbbbbbp,321,b,52.02,321,p,56.86,2.7,100.0
259,10,pbbbbbbpb,290,b,54.48,290,p,71.53,5.1,68.4
260,10,pbbbbbbpp,298,p,53.36,298,b,51.03,5.5,-
261,10,pbbbbbpbb,283,p,52.65,283,b,56.04,3.0,-
262,10,pbbbbbpbp,282,p,54.26,282,b,61.87,4.4,46.2
263,10,pbbbbbppb,262,b,51.15,262,b,68.45,3.2,42.9
264,10,pbbbbbppp,282,b,54.26,282,b,58.1,4.3,-
265,10,pbbbbpbbb,290,p,50.34,290,p,56.32,5.0,35.3
266,10,pbbbbpbbp,327,b,54.13,327,b,50.52,5.1,-
267,10,pbbbbpbpb,292,p,51.71,292,b,65.75,5.1,21.4
268,10,pbbbbpbpp,308,p,51.95,308,p,65.35,4.9,100.0
269,10,pbbbbppbb,279,p,52.33,279,p,64.38,4.7,57.1
270,10,pbbbbppbp,312,b,52.88,312,p,60.22,7.1,-
271,10,pbbbbpppb,267,p,50.19,267,p,62.16,3.0,0.0
272,10,pbbbbpppp,270,b,54.44,270,b,74.22,2.7,60.0
273,10,pbbbpbbbb,311,p,50.16,311,b,52.87,3.8,38.9
274,10,pbbbpbbbp,328,b,52.74,328,b,62.72,3.7,50.0
275,10,pbbbpbbpb,324,b,50.31,324,b,59.15,6.2,-
276,10,pbbbpbbpp,313,b,51.44,313,b,51.92,3.5,36.8
277,10,pbbbpbpbb,292,b,52.05,292,b,55.73,4.4,47.1
278,10,pbbbpbpbp,326,b,52.76,326,b,64.78,5.7,100.0
279,10,pbbbpbppb,268,b,51.87,268,b,73.66,3.2,41.7
280,10,pbbbpbppp,285,p,50.53,285,p,57.92,5.2,0.0
281,10,pbbbppbbb,293,b,50.85,293,p,55.46,4.5,-
282,10,pbbbppbbp,265,b,51.7,265,b,50.7,5.1,26.3
283,10,pbbbppbpb,314,b,52.23,314,p,77.77,4.2,-
284,10,pbbbppbpp,293,b,55.63,293,b,61.75,2.7,41.7
285,10,pbbbpppbb,265,p,53.96,265,b,75.57,4.8,61.5
286,10,pbbbpppbp,284,p,53.87,284,p,55.22,6.9,-
287,10,pbbbppppb,304,p,50.33,304,b,65.48,4.0,100.0
288,10,pbbbppppp,247,b,58.3,247,b,51.83,2.8,58.3
289,10,pbbpbbbbb,281,b,51.25,281,p,63.87,4.6,40.0
290,10,pbbpbbbbp,347,b,52.45,347,p,68.3,4.5,-
291,10,pbbpbbbpb,322,b,54.66,322,p,57.11,1.7,-
292,10,pbbpbbbpp,282,b,55.32,282,p,53.07,5.5,36.4
293,10,pbbpbbpbb,342,p,54.09,342,b,70.63,3.1,71.4
294,10,pbbpbbpbp,337,b,50.74,337,p,57.61,4.0,33.3
295,10,pbbpbbppb,285,b,51.23,285,p,54.78,6.5,50.0
296,10,pbbpbbppp,299,b,53.18,299,b,72.87,5.8,100.0
297,10,pbbpbpbbb,309,p,53.07,309,p,61.51,3.3,-
298,10,pbbpbpbbp,288,b,50.35,288,b,65.28,4.3,58.8
299,10,pbbpbpbpb,308,b,52.6,308,p,52.46,3.7,52.6
300,10,pbbpbpbpp,329,b,52.28,329,p,86.55,3.6,-
301,10,pbbpbppbb,314,b,51.59,314,b,71.16,3.8,-
302,10,pbbpbppbp,302,b,52.32,302,b,66.64,4.7,81.2
303,10,pbbpbpppb,297,b,54.21,297,b,72,3.2,60.0
304,10,pbbpbpppp,311,b,51.77,311,p,54.6,5.0,-
305,10,pbbppbbbb,294,p,50,294,p,58.08,5.5,50.0
306,10,pbbppbbbp,302,b,55.63,302,b,86.18,3.7,33.3
307,10,pbbppbbpb,308,b,55.52,308,p,60.31,2.4,66.7
308,10,pbbppbbpp,313,b,52.4,313,p,64.48,4.9,42.9
309,10,pbbppbpbb,317,p,50.79,317,b,75.65,4.0,100.0
310,10,pbbppbpbp,284,p,51.06,284,p,55.76,5.2,18.2
311,10,pbbppbppb,284,p,50,284,b,60.79,5.0,33.3
312,10,pbbppbppp,305,p,53.44,305,b,52.13,4.1,-
313,10,pbbpppbbb,283,p,55.12,283,p,55.78,3.7,64.7
314,10,pbbpppbbp,309,b,52.75,309,b,53.12,5.2,-
315,10,pbbpppbpb,329,b,51.98,329,b,76.21,4.2,-
316,10,pbbpppbpp,276,b,52.9,276,b,62.09,3.5,50.0
317,10,pbbppppbb,269,p,54.28,269,p,75.83,4.5,46.2
318,10,pbbppppbp,322,b,50.93,322,b,51.98,5.7,-
319,10,pbbpppppb,263,p,52.47,263,p,50.5,3.2,25.0
320,10,pbbpppppp,270,b,50.37,270,b,69.43,4.0,62.5
321,10,pbpbbbbbb,317,p,50.79,317,p,60.25,3.9,-
322,10,pbpbbbbbp,310,p,51.61,310,p,54.36,5.2,25.0
323,10,pbpbbbbpb,308,b,52.6,308,b,58.02,4.9,-
324,10,pbpbbbbpp,257,b,50.19,257,b,73.73,2.3,55.6
325,10,pbpbbbpbb,339,p,51.92,339,p,50.34,6.1,-
326,10,pbpbbbpbp,309,b,50.16,309,b,66.68,4.3,27.3
327,10,pbpbbbppb,317,p,53.94,317,p,50.29,6.0,-
328,10,pbpbbbppp,277,p,51.62,277,b,55.31,3.9,18.8
329,10,pbpbbpbbb,309,b,53.72,309,b,66.9,3.6,50.0
330,10,pbpbbpbbp,307,b,54.72,307,b,60.05,4.3,100.0
331,10,pbpbbpbpb,281,b,50.53,281,b,62.8,4.1,35.7
332,10,pbpbbpbpp,314,p,50.32,314,b,50.81,2.0,-
333,10,pbpbbppbb,294,p,53.4,294,b,57.88,3.0,-
334,10,pbpbbppbp,295,b,50.17,295,b,53.55,3.3,35.7
335,10,pbpbbpppb,323,b,51.7,323,b,68.32,3.1,100.0
336,10,pbpbbpppp,271,b,54.61,271,p,56.94,3.5,52.6
337,10,pbpbpbbbb,312,b,53.85,312,p,59.17,4.7,66.7
338,10,pbpbpbbbp,324,b,52.78,324,b,62.45,5.8,50.0
339,10,pbpbpbbpb,297,b,55.22,297,b,60.53,1.9,25.0
340,10,pbpbpbbpp,310,b,50.32,310,p,70.61,3.5,46.7
341,10,pbpbpbpbb,319,p,51.41,319,b,63.57,4.6,-
342,10,pbpbpbpbp,276,p,50.36,276,b,62.75,4.0,50.0
343,10,pbpbpbppb,318,b,58.18,318,b,81.09,3.1,100.0
344,10,pbpbpbppp,282,p,50.35,282,p,51.47,3.3,58.3
345,10,pbpbppbbb,316,p,53.48,316,p,73.94,3.8,50.0
346,10,pbpbppbbp,323,b,51.39,323,b,58.76,3.6,-
347,10,pbpbppbpb,301,p,50.17,301,p,58.63,4.1,-
348,10,pbpbppbpp,272,b,51.47,272,p,74.28,4.1,41.7
349,10,pbpbpppbb,298,p,52.68,298,p,76.51,4.6,-
350,10,pbpbpppbp,272,b,53.31,272,b,63.43,3.7,68.0
351,10,pbpbppppb,289,b,53.98,289,p,55.01,4.3,0.0
352,10,pbpbppppp,263,p,52.47,263,p,85.73,1.8,66.7
353,10,pbppbbbbb,279,b,55.91,279,b,71.29,2.8,57.1
354,10,pbppbbbbp,300,p,50,300,p,57.61,4.1,-
355,10,pbppbbbpb,287,b,52.61,287,b,68.37,4.1,-
356,10,pbppbbbpp,276,b,51.09,276,p,67.46,5.9,68.8
357,10,pbppbbpbb,308,b,53.25,308,p,69.44,3.1,35.7
358,10,pbppbbpbp,326,b,50.92,326,b,55.06,5.9,33.3
359,10,pbppbbppb,317,b,51.42,317,p,71.19,4.9,57.1
360,10,pbppbbppp,275,b,51.64,275,p,50.97,4.2,57.1
361,10,pbppbpbbb,277,b,52.71,277,b,74.32,2.8,31.2
362,10,pbppbpbbp,299,b,54.18,299,b,69.75,4.1,100.0
363,10,pbppbpbpb,296,b,53.72,296,p,51.34,3.3,57.1
364,10,pbppbpbpp,316,b,51.9,316,b,74.54,3.9,100.0
365,10,pbppbppbb,296,p,52.03,296,p,51.28,2.6,-
366,10,pbppbppbp,262,b,55.73,262,p,54.49,4.2,43.8
367,10,pbppbpppb,294,p,50.68,294,b,67.85,3.8,-
368,10,pbppbpppp,236,b,53.81,236,b,51.57,5.2,55.6
369,10,pbpppbbbb,321,b,50.47,321,p,63.27,6.7,100.0
370,10,pbpppbbbp,279,b,51.25,279,b,77.93,4.3,44.4
371,10,pbpppbbpb,292,p,52.74,292,p,56.34,6.0,-
372,10,pbpppbbpp,286,p,50.35,286,b,64.85,4.5,41.7
373,10,pbpppbpbb,287,b,50.17,287,b,65.38,3.9,100.0
374,10,pbpppbpbp,281,p,50.89,281,p,71.43,4.4,22.2
375,10,pbpppbppb,268,b,52.99,268,b,73.65,3.7,60.0
376,10,pbpppbppp,278,b,54.32,278,b,62.4,4.1,-
377,10,pbppppbbb,293,b,52.22,293,b,64.81,5.2,33.3
378,10,pbppppbbp,290,b,54.48,290,b,59.58,3.5,71.4
379,10,pbppppbpb,289,b,52.94,289,b,66.14,4.3,-
380,10,pbppppbpp,256,b,51.56,256,p,73.15,7.1,47.4
