윈도우,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
9,bppppbbb,442,b,50.45,442,b,61.68,10.0,50.0
9,bppppbbp,471,b,50.53,471,b,50.09,10.6,33.3
9,bppppbpb,471,b,51.17,471,b,57.83,8.1,57.1
9,bppppbpp,444,p,50,444,b,58.87,9.7,46.2
9,bpppppbb,434,p,51.15,434,p,52.76,8.9,46.7
9,bpppppbp,425,b,52,425,p,60.95,11.5,69.6
9,bppppppb,422,p,50.71,422,p,63.37,12.9,29.4
9,bppppppp,433,b,53.35,433,b,52,7.2,42.9
9,pbbbbbbb,524,p,50.95,524,b,73.26,7.2,45.5
9,pbbbbbbp,472,p,53.18,472,p,54.49,9.3,50.0
9,pbbbbbpb,451,b,52.55,451,p,68.94,7.2,60.0
9,pbbbbbpp,453,p,51.66,453,b,56.83,12.5,54.5
9,pbbbbpbb,508,p,51.77,508,p,54.53,13.7,35.3
9,pbbbbpbp,478,p,52.09,478,b,60.47,11.0,47.6
9,pbbbbppb,480,b,50.21,480,b,65.57,8.4,66.7
9,pbbbbppp,430,b,50.47,430,p,62.08,10.2,50.0
9,pbbbpbbb,515,p,50.87,515,p,51.84,12.3,31.0
9,pbbbpbbp,516,b,51.55,516,p,51.04,13.1,51.9
9,pbbbpbpb,485,p,51.34,485,b,54.86,10.0,63.6
9,pbbbpbpp,431,p,50.81,431,b,57.87,9.8,36.8
9,pbbbppbb,459,b,52.29,459,b,50.22,8.4,36.8
9,pbbbppbp,478,b,52.51,478,b,65.97,10.3,30.8
9,pbbbpppb,433,p,51.04,433,p,50.59,9.4,44.4
9,pbbbpppp,443,b,54.85,443,p,56.27,7.8,47.1
9,pbbpbbbb,499,p,56.91,499,p,58.98,13.1,45.5
9,pbbpbbbp,501,b,53.69,501,b,50.93,13.3,50.0
9,pbbpbbpb,562,p,50.18,562,b,59.64,15.9,63.2
9,pbbpbbpp,468,p,51.28,468,p,71.69,10.4,66.7
9,pbbpbpbb,497,b,52.11,497,p,59.15,8.6,46.2
9,pbbpbpbp,502,p,51.2,502,b,71.8,8.7,31.6
9,pbbpbppb,503,b,52.68,503,b,59.77,8.0,42.1
9,pbbpbppp,476,p,51.89,476,b,67.82,9.3,53.3
9,pbbppbbb,487,p,50.72,487,p,55.79,10.9,55.0
9,pbbppbbp,488,b,51.43,488,b,60.71,15.3,35.7
9,pbbppbpb,471,b,51.59,471,b,55.21,10.9,37.5
9,pbbppbpp,450,p,51.56,450,p,72.78,9.1,56.2
9,pbbpppbb,486,p,53.5,486,p,66.13,11.1,57.1
9,pbbpppbp,493,b,54.36,493,b,57.95,12.0,54.2
9,pbbppppb,466,p,54.08,466,b,53.48,11.1,37.5
9,pbbppppp,421,b,51.07,421,b,62.93,11.7,53.3
9,pbpbbbbb,495,b,51.52,495,p,72.42,9.7,61.5
9,pbpbbbbp,441,b,53.97,441,b,57.97,9.8,56.2
9,pbpbbbpb,504,b,53.77,504,b,54.24,9.7,53.8
9,pbpbbbpp,476,b,52.52,476,b,57.55,8.3,55.6
9,pbpbbpbb,508,p,51.57,508,p,57.83,12.1,41.2
9,pbpbbpbp,485,p,52.78,485,p,57.31,9.6,50.0
9,pbpbbppb,462,b,52.81,462,b,64.29,12.9,50.0
9,pbpbbppp,474,b,54.64,474,b,53.43,10.5,23.5
9,pbpbpbbb,482,b,50.41,482,b,61.63,7.9,53.8
9,pbpbpbbp,469,b,51.17,469,b,50.66,11.2,41.7
9,pbpbpbpb,450,b,55.11,450,b,77.71,6.6,64.3
9,pbpbpbpp,453,b,53.42,453,b,54.2,6.9,57.7
9,pbpbppbb,527,p,50.47,527,p,55.77,9.0,69.2
9,pbpbppbp,414,b,51.69,414,p,63.56,8.3,38.5
9,pbpbpppb,438,b,54.79,438,p,57.29,9.2,43.3
9,pbpbpppp,442,b,51.58,442,b,52.5,10.8,70.6
9,pbppbbbb,488,p,52.05,488,p,50.49,8.1,68.4
9,pbppbbbp,457,b,53.61,457,b,52.85,8.1,47.4
9,pbppbbpb,503,p,51.69,503,b,59.58,7.2,35.7
9,pbppbbpp,471,b,53.93,471,b,50.48,10.1,47.8
9,pbppbpbb,454,p,52.42,454,p,51.21,11.1,27.3
9,pbppbpbp,476,p,51.68,476,p,70.62,10.4,65.2
9,pbppbppb,441,b,55.1,441,p,56.17,9.3,52.4
9,pbppbppp,405,b,54.32,405,b,57.52,8.3,61.5
9,pbpppbbb,463,b,53.56,463,b,52.39,10.1,56.2
9,pbpppbbp,441,b,51.7,441,p,71.99,8.1,50.0
9,pbpppbpb,423,b,51.54,423,p,60.27,10.1,38.5
9,pbpppbpp,427,p,51.05,427,b,52.88,10.8,61.5
9,pbppppbb,477,b,50.94,477,p,50.58,10.3,64.3
9,pbppppbp,411,b,53.04,411,b,55.01,8.6,60.0
9,pbpppppb,417,p,50.12,417,p,50.84,7.4,61.5
9,pbpppppp,430,p,50.93,430,b,67.65,9.6,81.2
10,bpbbbbbbb,253,b,50.99,253,b,63.59,3.4,-
10,bpbbbbbbp,232,p,51.29,232,p,57.46,5.2,62.5
10,bpbbbbbpb,211,b,53.08,211,p,70.67,4.7,87.5
10,bpbbbbbpp,253,b,51.78,253,b,61.27,6.9,-
10,bpbbbbpbb,258,b,52.33,258,b,52.89,7.0,16.7
10,bpbbbbpbp,249,b,52.21,249,b,71.99,5.1,25.0
10,bpbbbbppb,228,b,50.44,228,b,64.44,4.8,50.0
10,bpbbbbppp,219,b,53.42,219,p,68.01,4.5,66.7
10,bpbbbpbbb,267,b,50.19,267,p,59.01,6.0,0.0
10,bpbbbpbbp,267,b,53.93,267,b,54.09,6.6,70.0
10,bpbbbpbpb,237,b,50.21,237,p,52.29,4.9,40.0
10,bpbbbpbpp,234,p,50.85,234,b,62.6,5.5,40.0
10,bpbbbppbb,236,b,59.75,236,b,71.06,3.9,62.5
10,bpbbbppbp,250,b,54.8,250,b,67.17,6.6,-
10,bpbbbpppb,219,b,54.79,219,b,62.4,5.6,100.0
10,bpbbbpppp,213,b,60.09,213,p,62.54,3.9,11.1
10,bpbbpbbbb,257,p,55.64,257,p,58.96,6.4,-
10,bpbbpbbbp,235,b,53.19,235,p,58.3,6.9,64.7
10,bpbbpbbpb,305,p,51.48,305,p,53.34,9.0,-
10,bpbbpbbpp,243,p,52.67,243,p,76.09,7.3,36.4
10,bpbbpbpbb,230,b,56.96,230,b,54.47,4.0,77.8
10,bpbbpbpbp,259,b,52.12,259,b,67.07,5.4,-
10,bpbbpbppb,245,b,52.24,245,b,51.2,3.7,50.0
10,bpbbpbppp,257,b,51.75,257,b,66.84,6.0,-
10,bpbbppbbb,230,p,53.91,230,p,62.68,3.8,85.7
10,bpbbppbbp,245,p,50.61,245,b,53.49,8.6,0.0
10,bpbbppbpb,221,b,52.94,221,b,54.6,4.4,-
10,bpbbppbpp,213,p,51.17,213,p,75.6,5.9,9.1
10,bpbbpppbb,260,p,55,260,p,69.33,6.3,-
10,bpbbpppbp,246,b,52.44,246,b,51.14,5.7,54.5
10,bpbbppppb,227,p,53.3,227,b,52.67,5.5,-
10,bpbbppppp,210,b,52.38,210,b,54.27,6.1,44.4
10,bpbpbbbbb,271,b,51.29,271,p,72.49,5.3,-
10,bpbpbbbbp,208,b,55.77,208,b,60.97,4.7,50.0
10,bpbpbbbpb,246,b,56.1,246,b,75.29,3.2,-
10,bpbpbbbpp,232,b,52.16,232,b,52.77,3.3,42.9
10,bpbpbbpbb,241,p,54.36,241,p,61.38,6.1,-
10,bpbpbbpbp,230,p,53.91,230,p,66.56,5.1,53.8
10,bpbpbbppb,233,b,57.51,233,b,67.74,6.3,100.0
10,bpbpbbppp,232,b,51.29,232,b,50.21,5.3,-
10,bpbpbpbbb,242,p,53.31,242,b,54,4.9,66.7
10,bpbpbpbbp,247,b,55.47,247,b,56.2,7.2,100.0
10,bpbpbpbpb,206,b,52.43,206,b,77.6,2.6,57.1
10,bpbpbpbpp,217,p,50.69,217,p,63.46,3.3,50.0
10,bpbpbppbb,286,b,52.45,286,p,60.32,3.5,-
10,bpbpbppbp,192,b,54.17,192,p,71.69,3.2,50.0
10,bpbpbpppb,221,b,53.85,221,b,50.45,4.0,66.7
10,bpbpbpppp,216,b,52.31,216,b,68.85,3.0,0.0
10,bpbppbbbb,251,p,52.19,251,p,51.27,4.2,100.0
10,bpbppbbbp,254,b,54.72,254,b,58.2,3.5,33.3
10,bpbppbbpb,257,p,52.92,257,b,62.85,3.3,-
10,bpbppbbpp,234,b,52.56,234,p,51.42,6.3,75.0
10,bpbppbpbb,224,p,52.68,224,b,55.83,4.6,0.0
10,bpbppbpbp,216,p,50.93,216,p,64.46,4.0,60.0
10,bpbppbppb,218,b,56.42,218,p,51.72,5.5,-
10,bpbppbppp,205,b,55.12,205,p,56.3,4.2,22.2
10,bpbpppbbb,226,b,57.08,226,b,50.01,4.1,37.5
10,bpbpppbbp,240,b,53.75,240,p,68.2,5.4,0.0
10,bpbpppbpb,211,b,55.45,211,b,50.62,5.2,0.0
10,bpbpppbpp,195,p,50.26,195,b,51.39,5.8,36.4
10,bpbppppbb,240,b,50.42,240,p,64.04,6.2,50.0
10,bpbppppbp,217,b,51.61,217,b,72.98,3.5,54.5
10,bpbpppppb,221,p,50.68,221,p,72.52,2.9,-
10,bpbpppppp,214,p,50.93,214,b,60.11,4.6,44.4
10,bppbbbbbb,259,b,55.21,259,b,58.47,4.5,-
10,bppbbbbbp,196,b,56.12,196,p,81.46,3.9,16.7
10,bppbbbbpb,248,b,57.26,248,b,74.58,5.8,-
10,bppbbbbpp,231,b,54.11,231,p,54.85,2.8,80.0
10,bppbbbpbb,254,b,51.57,254,b,63.12,4.3,-
10,bppbbbpbp,229,b,55.9,229,p,51.01,5.7,83.3
10,bppbbbppb,203,b,51.72,203,b,58.95,4.6,66.7
10,bppbbbppp,202,b,50.99,202,b,64.92,3.9,44.4
10,bppbbpbbb,240,p,50,240,b,53.42,5.9,44.4
10,bppbbpbbp,249,b,58.63,249,b,62.98,7.8,100.0
10,bppbbpbpb,232,b,53.45,232,b,61.85,4.3,60.0
10,bppbbpbpp,234,b,54.7,234,b,70.24,3.7,66.7
10,bppbbppbb,241,p,54.77,241,p,69.54,5.1,16.7
10,bppbbppbp,240,b,54.17,240,b,62.77,4.6,85.7
10,bppbbpppb,247,b,52.23,247,p,68.1,5.1,100.0
10,bppbbpppp,205,b,51.71,205,p,51.37,5.5,30.0
10,bppbpbbbb,213,b,51.17,213,p,53.82,5.3,100.0
10,bppbpbbbp,251,b,51.39,251,b,51,6.2,-
10,bppbpbbpb,261,p,50.19,261,b,57.08,6.4,-
10,bppbpbbpp,218,p,55.96,218,b,54.65,4.4,40.0
10,bppbpbpbb,224,b,51.34,224,p,68.58,3.1,100.0
10,bppbpbpbp,214,b,50.93,214,b,61,2.9,42.9
10,bppbpbppb,254,b,51.18,254,p,51.25,7.4,-
10,bppbpbppp,211,p,52.61,211,p,65.98,7.2,57.1
10,bppbppbbb,222,b,53.6,222,b,60.92,3.2,100.0
10,bppbppbbp,236,b,52.97,236,b,74.49,3.3,-
10,bppbppbpb,239,b,50.63,239,b,55.14,5.6,-
10,bppbppbpp,191,b,52.88,191,p,54.4,3.6,80.0
10,bppbpppbb,207,b,57.49,207,b,69.93,3.2,50.0
10,bppbpppbp,204,p,54.9,204,b,55.2,5.4,60.0
10,bppbppppb,203,b,58.13,203,p,65.38,5.4,-
10,bppbppppp,187,p,56.15,187,p,57.25,4.0,100.0
10,bpppbbbbb,215,p,50.7,215,p,64.64,3.1,-
10,bpppbbbbp,215,p,53.02,215,p,51.73,6.3,11.1
10,bpppbbbpb,214,b,54.21,214,b,55.02,5.4,66.7
10,bpppbbbpp,224,b,54.46,224,p,53.86,3.8,-
10,bpppbbpbb,236,b,50.85,236,b,75.14,3.8,-
10,bpppbbpbp,236,b,54.66,236,p,59.9,2.6,50.0
10,bpppbbppb,212,b,56.6,212,b,61.29,5.9,77.8
10,bpppbbppp,225,p,51.11,225,p,69.85,5.9,-
10,bpppbpbbb,219,p,52.05,219,p,63.28,3.6,77.8
10,bpppbpbbp,239,b,50.63,239,p,65.58,6.3,100.0
10,bpppbpbpb,225,p,53.78,225,p,50.02,4.5,-
10,bpppbpbpp,201,p,54.73,201,p,61.86,6.4,55.6
10,bpppbppbb,203,b,52.22,203,b,67.2,4.7,66.7
10,bpppbppbp,213,b,54.93,213,b,57.27,6.1,33.3
10,bpppbpppb,218,p,54.59,218,b,66.73,4.5,-
10,bpppbpppp,213,b,50.7,213,p,60.22,6.4,62.5
10,bppppbbbb,220,b,51.82,220,p,60.61,6.4,28.6
10,bppppbbbp,215,b,50.23,215,b,68.71,3.9,100.0
10,bppppbbpb,234,b,50.43,234,b,51.55,5.2,60.0
10,bppppbbpp,227,b,51.54,227,p,50.2,5.5,11.1
10,bppppbpbb,230,b,54.78,230,p,59.25,4.5,0.0
10,bppppbpbp,221,b,52.94,221,b,53.69,3.3,28.6
10,bppppbppb,218,p,51.38,218,b,54.59,5.9,30.8
10,bppppbppp,216,b,51.39,216,p,54.44,3.9,-
10,bpppppbbb,207,p,53.14,207,p,61.05,4.1,37.5
10,bpppppbbp,218,p,50.46,218,p,74.24,4.8,-
10,bpppppbpb,218,b,58.26,218,b,66.42,4.3,-
10,bpppppbpp,200,p,51,200,b,51.47,5.9,42.9
10,bppppppbb,201,b,53.23,201,p,73.1,4.8,44.4
10,bppppppbp,207,b,55.07,207,b,62.48,7.2,33.3
10,bpppppppb,223,b,53.36,223,b,63.92,3.8,100.0
10,bpppppppp,198,p,51.01,198,p,53.93,3.3,33.3
10,pbbbbbbbb,252,b,53.97,252,p,56.57,5.3,33.3
10,pbbbbbbbp,261,b,52.49,261,b,70.07,1.8,100.0
10,pbbbbbbpb,217,b,54.84,217,b,54.28,4.1,66.7
10,pbbbbbbpp,241,p,53.11,241,p,72.7,4.9,-
10,pbbbbbpbb,226,p,50.88,226,p,68.18,2.3,-
10,pbbbbbpbp,205,p,57.07,205,b,53.13,4.8,50.0
10,pbbbbbppb,214,b,52.34,214,p,50.43,6.6,40.0
10,pbbbbbppp,231,b,54.11,231,b,57.44,4.8,-
10,pbbbbpbbb,242,p,50.41,242,b,50.28,6.4,36.4
10,pbbbbpbbp,255,b,54.12,255,b,61.73,7.6,-
10,pbbbbpbpb,222,b,50.9,222,b,55.99,6.8,11.1
10,pbbbbpbpp,241,p,51.45,241,b,65.54,4.5,100.0
10,pbbbbppbb,233,p,54.94,233,p,62.64,5.7,100.0
10,pbbbbppbp,236,b,52.97,236,p,55.99,3.0,-
10,pbbbbpppb,210,b,50.48,210,p,60.42,3.7,-
10,pbbbbpppp,210,b,52.86,210,p,52.15,6.4,60.0
10,pbbbpbbbb,252,p,50.4,252,b,52.07,6.1,53.8
10,pbbbpbbbp,256,b,50.78,256,p,50.12,6.5,50.0
10,pbbbpbbpb,258,b,50.39,258,b,58.24,5.6,-
10,pbbbpbbpp,247,b,50.61,247,p,66.61,6.0,30.8
10,pbbbpbpbb,230,b,52.61,230,b,57.6,5.1,33.3
10,pbbbpbpbp,241,b,52.28,241,b,52.81,4.1,100.0
10,pbbbpbppb,207,b,50.72,207,p,63.45,5.9,44.4
10,pbbbpbppp,213,b,50.23,213,b,54.34,4.3,0.0
10,pbbbppbbb,227,b,53.74,227,b,70.8,3.3,-
10,pbbbppbbp,215,b,50.7,215,b,60.77,4.3,16.7
10,pbbbppbpb,246,b,53.66,246,p,63.9,6.8,-
10,pbbbppbpp,225,b,57.33,225,b,75.67,3.0,55.6
10,pbbbpppbb,206,p,55.34,206,b,56.34,4.6,50.0
10,pbbbpppbp,217,p,52.07,217,p,61.66,4.5,-
10,pbbbppppb,237,b,51.05,237,p,56.99,3.5,100.0
10,pbbbppppp,195,b,57.44,195,b,68.41,4.4,42.9
10,pbbpbbbbb,209,b,50.72,209,b,58.68,5.4,58.3
10,pbbpbbbbp,279,b,51.97,279,p,54.84,7.0,-
10,pbbpbbbpb,265,b,55.09,265,b,50.84,6.4,-
10,pbbpbbbpp,220,b,56.36,220,b,61.08,6.0,38.5
10,pbbpbbpbb,271,p,55.72,271,p,52.85,9.3,71.4
10,pbbpbbpbp,275,b,50.55,275,p,52.87,6.5,-
10,pbbpbbppb,220,b,51.82,220,p,67.66,3.0,75.0
10,pbbpbbppp,232,b,53.45,232,b,50.81,7.5,100.0
10,pbbpbpbbb,247,p,52.63,247,p,52.23,3.5,-
10,pbbpbpbbp,235,b,50.21,235,p,50.64,5.3,50.0
10,pbbpbpbpb,242,b,52.07,242,b,80.45,6.5,53.8
10,pbbpbpbpp,251,b,51.39,251,p,58.53,2.5,-
10,pbbpbppbb,261,b,50.96,261,p,55.36,4.8,-
10,pbbpbppbp,230,b,52.61,230,b,51.31,3.1,66.7
10,pbbpbpppb,223,b,54.71,223,p,56.52,6.4,71.4
10,pbbpbpppp,239,b,51.46,239,b,59.87,3.0,-
10,pbbppbbbb,231,p,51.52,231,p,53.65,4.8,60.0
10,pbbppbbbp,242,b,55.37,242,b,50.75,5.8,0.0
10,pbbppbbpb,248,b,57.66,248,b,63.65,9.5,0.0
10,pbbppbbpp,231,b,51.08,231,p,80.59,5.9,50.0
10,pbbppbpbb,234,p,50.85,234,p,51.92,4.9,100.0
10,pbbppbpbp,219,p,51.6,219,p,60.88,5.0,15.4
10,pbbppbppb,214,p,50.47,214,p,57.4,2.5,28.6
10,pbbppbppp,230,p,57.83,230,p,70.38,6.8,-
10,pbbpppbbb,217,p,56.22,217,p,67.1,3.9,66.7
10,pbbpppbbp,247,b,53.44,247,p,64.44,6.4,-
10,pbbpppbpb,261,b,53.64,261,b,66.56,6.8,-
10,pbbpppbpp,218,b,54.59,218,b,68.05,4.5,63.6
10,pbbppppbb,207,p,53.62,207,p,52.51,6.1,50.0
10,pbbppppbp,249,b,50.6,249,p,70.36,5.3,-
10,pbbpppppb,211,p,51.66,211,p,57.49,7.5,50.0
10,pbbpppppp,202,p,50,202,b,70.29,4.4,100.0
10,pbpbbbbbb,249,b,50.6,249,p,71.5,2.3,-
10,pbpbbbbbp,237,p,55.7,237,p,53.71,6.1,40.0
10,pbpbbbbpb,232,b,51.29,232,b,54.94,5.9,-
10,pbpbbbbpp,197,b,51.78,197,b,84.2,3.5,57.1
10,pbpbbbpbb,263,p,53.61,263,p,62.51,5.4,-
10,pbpbbbpbp,226,p,51.33,226,b,62.19,4.6,16.7
10,pbpbbbppb,246,p,52.85,246,p,70.81,4.7,-
10,pbpbbbppp,220,b,51.36,220,b,61.36,3.6,25.0
10,pbpbbpbbb,238,b,52.1,238,p,51.45,4.5,66.7
10,pbpbbpbbp,259,b,53.28,259,b,59.4,7.1,100.0
10,pbpbbpbpb,221,b,50.23,221,b,56.17,4.2,28.6
10,pbpbbpbpp,250,b,50.8,250,p,66.07,5.7,-
10,pbpbbppbb,237,p,54.43,237,p,73.25,8.4,-
10,pbpbbppbp,214,b,50.47,214,p,50.69,4.8,40.0
10,pbpbbpppb,256,p,51.17,256,p,55.37,5.7,100.0
10,pbpbbpppp,210,b,54.29,210,b,67.02,4.9,54.5
10,pbpbpbbbb,238,b,55.88,238,p,54.03,5.1,100.0
10,pbpbpbbbp,235,b,51.91,235,b,62.38,3.1,50.0
10,pbpbpbbpb,238,b,58.4,238,b,52.43,5.8,0.0
10,pbpbpbbpp,225,p,50.22,225,b,54.22,5.7,58.3
10,pbpbpbpbb,238,p,51.68,238,p,64.26,5.0,-
10,pbpbpbpbp,199,p,51.26,199,b,54.38,1.5,20.0
10,pbpbpbppb,237,b,60.76,237,b,59.55,3.2,100.0
10,pbpbpbppp,208,b,50,208,b,51.33,3.2,40.0
10,pbpbppbbb,254,p,51.97,254,b,61.94,3.2,0.0
10,pbpbppbbp,256,b,52.34,256,p,69.05,4.9,-
10,pbpbppbpb,208,b,54.33,208,b,78.16,3.1,-
10,pbpbppbpp,198,b,54.04,198,b,58.22,5.4,37.5
10,pbpbpppbb,230,p,53.48,230,p,62.52,3.9,-
10,pbpbpppbp,196,b,52.04,196,b,65.22,5.4,64.7
10,pbpbppppb,223,b,54.26,223,b,69.47,5.8,0.0
10,pbpbppppp,208,p,52.4,208,p,68.19,5.3,33.3
10,pbppbbbbb,226,b,56.19,226,p,60.88,4.0,66.7
10,pbppbbbbp,248,b,50.81,248,b,77.71,3.8,-
10,pbppbbbpb,235,b,51.06,235,b,53.96,4.4,-
10,pbppbbbpp,205,b,50.73,205,p,60.59,3.9,80.0
10,pbppbbpbb,238,b,52.94,238,b,68.86,4.3,0.0
10,pbppbbpbp,253,b,51.38,253,b,76.19,3.0,33.3
10,pbppbbppb,248,b,52.42,248,p,56.24,5.3,57.1
10,pbppbbppp,212,b,51.42,212,p,74.42,4.1,60.0
10,pbppbpbbb,209,b,51.2,209,p,60.54,5.5,28.6
10,pbppbpbbp,234,b,54.27,234,p,51.57,5.7,100.0
10,pbppbpbpb,220,b,53.18,220,b,51.87,2.6,71.4
10,pbppbpbpp,239,b,51.05,239,b,55.29,7.5,100.0
10,pbppbppbb,232,p,51.72,232,b,66.38,4.0,-
10,pbppbppbp,193,b,55.96,193,b,63.81,5.1,30.0
10,pbppbpppb,217,b,51.15,217,p,70.42,4.9,-
10,pbppbpppp,176,b,57.39,176,b,70.27,3.6,70.0
10,pbpppbbbb,241,b,52.28,241,p,69.13,5.4,100.0
10,pbpppbbbp,213,b,51.17,213,p,59,5.0,40.0
10,pbpppbbpb,224,p,52.68,224,b,79.09,2.3,-
10,pbpppbbpp,211,p,51.66,211,b,55.87,5.9,33.3
10,pbpppbpbb,211,p,52.13,211,p,55.8,4.1,100.0
10,pbpppbpbp,199,b,51.76,199,b,59.54,6.3,16.7
10,pbpppbppb,203,b,53.2,203,p,55.99,5.9,60.0
10,pbpppbppp,211,b,54.98,211,p,54.35,5.2,-
10,pbppppbbb,237,b,52.74,237,b,66.4,5.2,0.0
10,pbppppbbp,227,b,54.19,227,b,55.75,5.3,66.7
10,pbppppbpb,214,b,51.4,214,b,64.67,4.4,-
10,pbppppbpp,190,b,51.58,190,b,59.66,3.9,33.3
10,pbpppppbb,202,p,51.98,202,b,55.37,3.7,50.0
10,pbpppppbp,203,b,58.13,203,b,50.02,3.8,100.0
10,pbppppppb,206,p,54.37,206,p,68.92,6.7,0.0
10,pbppppppp,215,b,55.35,215,p,55.51,3.2,100.0
11,bpbbbbbbbb,127,b,54.33,127,p,69.12,2.2,-
11,bpbbbbbbbp,121,b,53.72,121,b,74.29,1.2,-
11,bpbbbbbbpb,112,b,53.57,112,b,75.82,2.1,100.0
11,bpbbbbbbpp,114,b,50,114,p,85.2,2.9,-
11,bpbbbbbpbb,107,b,52.34,107,p,80.73,1.4,-
11,bpbbbbbpbp,94,p,61.7,94,p,51.94,3.2,0.0
11,bpbbbbbppb,128,b,60.94,128,b,70.05,4.3,-
11,bpbbbbbppp,120,b,57.5,120,b,57.67,2.0,-
11,bpbbbbpbbb,133,b,51.13,133,b,55.59,3.8,-
11,bpbbbbpbbp,117,b,52.14,117,b,72.89,3.3,66.7
11,bpbbbbpbpb,127,p,51.18,127,b,73.02,3.7,100.0
11,bpbbbbpbpp,112,p,54.46,112,b,58.38,1.5,100.0
11,bpbbbbppbb,113,b,50.44,113,p,57.13,3.2,100.0
11,bpbbbbppbp,112,b,55.36,112,p,58.79,1.7,0.0
11,bpbbbbpppb,111,b,51.35,111,p,56.75,1.3,-
11,bpbbbbpppp,101,b,54.46,101,p,71.03,3.2,0.0
11,bpbbbpbbbb,134,p,52.24,134,b,52.52,2.5,-
11,bpbbbpbbbp,131,b,51.15,131,b,51.21,3.6,100.0
