No,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
11,bpbbpbpb,566,p,53.18,566,b,52.72,8.9,48.1
61,bpppppbb,500,p,52.4,500,p,60.25,7.1,48.0
2,bpbbbbbp,544,p,52.57,544,p,56.1,8.9,47.8
80,pbbbpppp,509,b,55.21,509,b,59.13,6.7,47.8
125,pbppppbb,538,b,50.37,538,b,58.38,8.6,47.4
60,bppppbpp,518,p,50,518,p,68.96,12.7,47.2
22,bpbpbpbp,515,p,50.87,515,b,58.48,7.9,46.7
34,bppbbbbp,549,b,50.64,549,p,65.34,10.3,46.7
6,bpbbbpbp,564,b,51.06,564,b,59.97,6.9,46.4
25,bpbppbbb,576,p,51.39,576,p,70.66,8.9,46.4
70,pbbbbpbp,550,p,50.91,550,b,53.6,10.6,46.4
119,pbppbppb,510,b,54.12,510,p,61.51,6.6,46.4
54,bpppbpbp,506,b,51.98,506,p,58.12,8.4,46.2
114,pbppbbbp,521,b,52.78,521,p,58.95,9.8,46.2
13,bpbbppbb,555,p,51.17,555,b,58.23,8.2,45.8
15,bpbbpppb,592,b,51.35,592,b,53.61,9.4,45.8
105,pbpbpbbb,571,p,50.26,571,p,54.07,10.6,45.8
94,pbbpppbp,560,b,54.29,560,b,53.79,7.5,45.7
96,pbbppppp,474,b,50,474,p,57.72,7.7,45.5
117,pbppbpbb,511,p,51.47,511,p,59.22,6.7,45.5
19,bpbpbbpb,546,b,52.2,546,b,66.1,9.1,45.2
37,bppbbpbb,556,p,50,556,b,54.33,6.5,45.2
66,pbbbbbbp,534,p,52.25,534,p,52.34,10.6,45.2
28,bpbppbpp,508,b,50.2,508,p,67.57,6.5,44.8
30,bpbpppbp,485,b,52.37,485,b,54.9,6.7,44.8
5,bpbbbpbb,627,b,50.24,627,p,56.1,9.9,44.4
82,pbbpbbbp,561,b,52.05,561,p,68.83,8.0,44.4
90,pbbppbbp,557,b,50.81,557,p,61.96,7.7,44.4
79,pbbbpppb,500,p,50.8,500,p,58.28,11.4,44.0
81,pbbpbbbb,566,p,55.83,566,p,50.16,9.1,43.8
14,bpbbppbp,520,b,51.15,520,p,51.11,9.4,43.3
23,bpbpbppb,556,b,57.73,556,b,56.36,5.4,43.3
87,pbbpbppb,561,b,51.34,561,p,55.16,8.4,43.3
116,pbppbbpp,538,b,53.53,538,b,53.23,8.9,43.3
32,bpbppppp,508,b,51.38,508,p,63.65,7.6,42.9
64,bppppppp,485,b,51.34,485,p,64.68,8.6,42.1
78,pbbbppbp,545,b,52.84,545,b,63.2,7.4,42.1
63,bppppppb,478,b,50.42,478,b,54.39,8.3,41.7
76,pbbbpbpp,494,p,51.21,494,p,60.8,8.3,41.7
111,pbpbpppb,516,b,53.49,516,b,54.69,8.8,41.7
106,pbpbpbbp,532,p,50.94,532,p,65.15,5.4,41.4
39,bppbbppb,553,p,50.09,553,p,58.31,8.9,41.2
7,bpbbbppb,564,p,51.24,564,b,58.38,10.3,40.9
4,bpbbbbpp,520,b,51.15,520,b,77.76,7.1,40.5
33,bppbbbbb,523,b,56.21,523,b,57.34,7.4,40.0
69,pbbbbpbb,566,p,52.47,566,p,50.64,9.9,40.0
77,pbbbppbb,518,b,53.09,518,p,52.77,9.4,40.0
101,pbpbbpbb,572,p,51.57,572,p,58.76,9.4,39.0
123,pbpppbpb,496,b,51.01,496,p,52.99,8.2,38.9
49,bpppbbbb,523,p,50.48,523,p,54.48,11.3,38.5
16,bpbbpppp,502,b,51.99,502,b,64.35,7.4,37.9
126,pbppppbp,492,b,52.44,492,p,58.64,12.3,37.9
91,pbbppbpb,546,b,51.47,546,p,56.33,9.1,37.8
53,bpppbpbb,541,p,50.83,541,b,60.62,9.1,37.5
8,bpbbbppp,502,p,50.2,502,b,54.19,8.4,36.8
73,pbbbpbbb,581,p,51.29,581,b,53.29,7.8,36.8
9,bpbbpbbb,567,b,52.73,567,b,62.99,8.4,36.4
29,bpbpppbb,556,p,51.62,556,p,59.73,10.7,34.5
56,bpppbppp,511,b,51.86,511,b,61.19,7.8,34.5
58,bppppbbp,542,b,51.48,542,b,53.75,9.5,34.5
104,pbpbbppp,534,b,55.06,534,b,52.11,7.1,33.3
86,pbbpbpbp,578,p,50.69,578,b,53.46,9.6,30.8
40,bppbbppp,532,b,53.2,532,p,56.94,11.4,26.7
